event_id,store_id,campaign_id,product_code,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo),total_revenue_before_promo,total_revenue_after_promo,Incremental revenue,Incremental Sold Quantity Percent
7f650b,STCBE-2,CAMP_SAN_01,P11,190,50% OFF,34,52,6460,9880,3420,52.94117647
a21f91,STBLR-8,CAMP_DIW_01,P03,156,25% OFF,393,322,61308,50232,-11076,-18.06615776
78bc80,STVJD-0,CAMP_SAN_01,P07,300,BOGOF,22,85,6600,25500,18900,286.3636364
a1503f,STCBE-1,CAMP_DIW_01,P15,3000,500 Cashback,329,1000,987000,3000000,2013000,203.9513678
1091cf,STBLR-6,CAMP_DIW_01,P05,55,25% OFF,108,93,5940,5115,-825,-13.88888889
8.02E+96,STBLR-4,CAMP_DIW_01,P11,190,50% OFF,91,116,17290,22040,4750,27.47252747
73d86f,STVSK-2,CAMP_SAN_01,P10,50,25% OFF,31,26,1550,1300,-250,-16.12903226
fe3560,STHYD-4,CAMP_DIW_01,P13,350,BOGOF,73,245,25550,85750,60200,235.6164384
6b2afc,STCBE-4,CAMP_SAN_01,P08,1190,BOGOF,30,79,35700,94010,58310,163.3333333
ce5851,STMDU-2,CAMP_SAN_01,P03,200,BOGOF,318,1265,63600,253000,189400,297.7987421
dd6685,STMYS-2,CAMP_DIW_01,P06,415,25% OFF,78,70,32370,29050,-3320,-10.25641026
8f25a6,STHYD-6,CAMP_SAN_01,P15,3000,500 Cashback,126,302,378000,906000,528000,139.6825397
5c3c33,STCHE-6,CAMP_DIW_01,P12,62,50% OFF,154,207,9548,12834,3286,34.41558442
d290a1,STBLR-3,CAMP_DIW_01,P04,290,25% OFF,343,270,99470,78300,-21170,-21.28279883
635862,STVSK-4,CAMP_SAN_01,P02,860,33% OFF,348,480,299280,412800,113520,37.93103448
c0ecb5,STCHE-2,CAMP_SAN_01,P07,300,BOGOF,43,167,12900,50100,37200,288.372093
182caa,STCHE-5,CAMP_SAN_01,P06,415,25% OFF,39,33,16185,13695,-2490,-15.38461538
c4db5b,STTRV-0,CAMP_DIW_01,P01,172,33% OFF,164,236,28208,40592,12384,43.90243902
94f48c,STVSK-1,CAMP_SAN_01,P06,415,25% OFF,22,16,9130,6640,-2490,-27.27272727
7ef92f,STHYD-5,CAMP_SAN_01,P07,300,BOGOF,55,213,16500,63900,47400,287.2727273
0f422c,STBLR-0,CAMP_DIW_01,P14,1020,BOGOF,42,168,42840,171360,128520,300
1e9a06,STCHE-4,CAMP_DIW_01,P13,350,BOGOF,84,338,29400,118300,88900,302.3809524
02ebe9,STBLR-8,CAMP_DIW_01,P11,190,50% OFF,66,88,12540,16720,4180,33.33333333
260ff2,STMYS-2,CAMP_SAN_01,P01,172,33% OFF,204,291,35088,50052,14964,42.64705882
7fc923,STTRV-0,CAMP_SAN_01,P08,1190,BOGOF,19,74,22610,88060,65450,289.4736842
b08c12,STMDU-3,CAMP_DIW_01,P03,156,25% OFF,227,202,35412,31512,-3900,-11.01321586
ca7298,STCBE-2,CAMP_SAN_01,P15,3000,500 Cashback,85,228,255000,684000,429000,168.2352941
bf33ae,STMYS-0,CAMP_DIW_01,P14,1020,BOGOF,59,182,60180,185640,125460,208.4745763
35fb5b,STCBE-2,CAMP_DIW_01,P13,350,BOGOF,50,190,17500,66500,49000,280
def6ff,STMDU-0,CAMP_DIW_01,P11,190,50% OFF,70,89,13300,16910,3610,27.14285714
2f3e5d,STCHE-2,CAMP_SAN_01,P01,172,33% OFF,333,402,57276,69144,11868,20.72072072
ca3893,STMYS-1,CAMP_SAN_01,P09,90,25% OFF,52,39,4680,3510,-1170,-25
922e6a,STBLR-8,CAMP_SAN_01,P05,55,25% OFF,34,24,1870,1320,-550,-29.41176471
4f0587,STMDU-0,CAMP_SAN_01,P08,1190,BOGOF,33,136,39270,161840,122570,312.1212121
fa5b45,STVJD-1,CAMP_SAN_01,P08,1190,BOGOF,27,109,32130,129710,97580,303.7037037
df45ee,STHYD-3,CAMP_DIW_01,P01,172,33% OFF,309,534,53148,91848,38700,72.81553398
f3ac85,STBLR-5,CAMP_SAN_01,P03,200,BOGOF,348,1350,69600,270000,200400,287.9310345
292ca5,STHYD-2,CAMP_DIW_01,P04,290,25% OFF,287,220,83230,63800,-19430,-23.34494774
620715,STMYS-3,CAMP_SAN_01,P03,200,BOGOF,340,1485,68000,297000,229000,336.7647059
7e9777,STVJD-1,CAMP_DIW_01,P08,1190,BOGOF,24,82,28560,97580,69020,241.6666667
761785,STBLR-4,CAMP_SAN_01,P14,1020,BOGOF,121,474,123420,483480,360060,291.7355372
eb3bea,STVSK-2,CAMP_SAN_01,P15,3000,500 Cashback,109,238,327000,714000,387000,118.3486239
276150,STCBE-3,CAMP_SAN_01,P07,300,BOGOF,33,128,9900,38400,28500,287.8787879
